id,name,middle_category_id,order_number,brand_upper_category_id,size_type_id,
1,Tシャツ/カットソー（半袖/袖なし）,1,1,1,1,
2,Tシャツ/カットソー（七分/長袖）,1,2,1,1,
3,シャツ/ブラウス（半袖/袖なし）,1,3,1,1,
4,シャツ/ブラウス（七分/長袖）,1,4,1,1,
5,ポロシャツ,1,5,1,1,
6,キャミソール,1,6,1,1,
7,タンクトップ,1,7,1,1,
8,ホルターネック,1,8,1,1,
9,ニット/セーター,1,9,1,1,
10,チュニック,1,10,1,1,
11,カーディガン/ボレロ,1,11,1,1,
12,アンサンブル,1,12,1,1,
13,ベスト/ジレ,1,13,1,1,
14,パーカー,1,14,1,1,
15,トレーナー/スウェット,1,15,1,1,
16,ベアトップ/ チューブトップ,1,16,1,1,
17,ジャージ,1,17,1,1,
18,その他,1,18,1,1,
19,テーラードジャケット,2,1,1,1,
20,ノーカラージャケット,2,2,1,1,
21,Gジャン/デニムジャケット,2,3,1,1,
22,レザージャケット,2,4,1,1,
23,ダウンジャケット,2,5,1,1,
24,ライダージャケット,2,6,1,1,
25,ミリタリージャケット,2,7,1,1,
26,ダウンベスト,2,8,1,1,
27,ジャンパー/ブルゾン,2,9,1,1,
28,ポンチョ,2,10,1,1,
29,ロングコート,2,11,1,1,
30,トレンチコート,2,12,1,1,
31,ダッフルコート,2,13,1,1,
32,ピーコート,2,14,1,1,
33,チェスターコート,2,15,1,1,
34,モッズコート,2,16,1,1,
35,スタジャン,2,17,1,1,
36,毛布/ファーコート,2,18,1,1,
37,スプリングコート,2,19,1,1,
38,スカジャン,2,20,1,1,
39,その他,2,21,1,1,
40,デニム/ジーンズ,3,1,1,1,
41,ショートパンツ,3,2,1,1,
42,カジュアルパンツ,3,3,1,1,
43,ハーフパンツ,3,4,1,1,
44,チノパン,3,5,1,1,
45,ワークパンツ/カーゴパンツ,3,6,1,1,
46,クロップドパンツ,3,7,1,1,
47,サロペット/オーバーオール,3,8,1,1,
48,オールインワン,3,9,1,1,
